SF: 11, BW: 31200 Hz, CR: 4/7, T_payload: 144.410256 ms
SF: 11, BW: 31200 Hz, CR: 4/8, T_payload: 157.538462 ms
SF: 11, BW: 41700 Hz, CR: 4/5, T_payload: 88.402878 ms
SF: 11, BW: 41700 Hz, CR: 4/6, T_payload: 98.225420 ms
SF: 11, BW: 41700 Hz, CR: 4/7, T_payload: 108.047962 ms
SF: 11, BW: 41700 Hz, CR: 4/8, T_payload: 117.870504 ms
SF: 11, BW: 62500 Hz, CR: 4/5, T_payload: 58.982400 ms
SF: 11, BW: 62500 Hz, CR: 4/6, T_payload: 65.536000 ms
SF: 11, BW: 62500 Hz, CR: 4/7, T_payload: 72.089600 ms
SF: 11, BW: 62500 Hz, CR: 4/8, T_payload: 78.643200 ms
SF: 11, BW: 125000 Hz, CR: 4/5, T_payload: 29.491200 ms
SF: 11, BW: 125000 Hz, CR: 4/6, T_payload: 32.768000 ms
SF: 11, BW: 125000 Hz, CR: 4/7, T_payload: 36.044800 ms
SF: 11, BW: 125000 Hz, CR: 4/8, T_payload: 39.321600 ms
SF: 11, BW: 250000 Hz, CR: 4/5, T_payload: 14.745600 ms
SF: 11, BW: 250000 Hz, CR: 4/6, T_payload: 16.384000 ms
SF: 11, BW: 250000 Hz, CR: 4/7, T_payload: 18.022400 ms
SF: 11, BW: 250000 Hz, CR: 4/8, T_payload: 19.660800 ms
SF: 11, BW: 500000 Hz, CR: 4/5, T_payload: 7.372800 ms
SF: 11, BW: 500000 Hz, CR: 4/6, T_payload: 8.192000 ms
SF: 11, BW: 500000 Hz, CR: 4/7, T_payload: 9.011200 ms
SF: 11, BW: 500000 Hz, CR: 4/8, T_payload: 9.830400 ms
SF: 12, BW: 7800 Hz, CR: 4/5, T_payload: 682.666667 ms
SF: 12, BW: 7800 Hz, CR: 4/6, T_payload: 735.179487 ms
SF: 12, BW: 7800 Hz, CR: 4/7, T_payload: 787.692308 ms
SF: 12, BW: 7800 Hz, CR: 4/8, T_payload: 840.205128 ms
SF: 12, BW: 10400 Hz, CR: 4/5, T_payload: 512.000000 ms
SF: 12, BW: 10400 Hz, CR: 4/6, T_payload: 551.384615 ms
SF: 12, BW: 10400 Hz, CR: 4/7, T_payload: 590.769231 ms
SF: 12, BW: 10400 Hz, CR: 4/8, T_payload: 630.153846 ms
SF: 12, BW: 15600 Hz, CR: 4/5, T_payload: 341.333333 ms
SF: 12, BW: 15600 Hz, CR: 4/6, T_payload: 367.589744 ms
SF: 12, BW: 15600 Hz, CR: 4/7, T_payload: 393.846154 ms
SF: 12, BW: 15600 Hz, CR: 4/8, T_payload: 420.102564 ms
SF: 12, BW: 20800 Hz, CR: 4/5, T_payload: 256.000000 ms
SF: 12, BW: 20800 Hz, CR: 4/6, T_payload: 275.692308 ms
SF: 12, BW: 20800 Hz, CR: 4/7, T_payload: 295.384615 ms
SF: 12, BW: 20800 Hz, CR: 4/8, T_payload: 315.076923 ms
SF: 12, BW: 31200 Hz, CR: 4/5, T_payload: 170.666667 ms
SF: 12, BW: 31200 Hz, CR: 4/6, T_payload: 183.794872 ms
SF: 12, BW: 31200 Hz, CR: 4/7, T_payload: 196.923077 ms
SF: 12, BW: 31200 Hz, CR: 4/8, T_payload: 210.051282 ms
SF: 12, BW: 41700 Hz, CR: 4/5, T_payload: 127.693046 ms
SF: 12, BW: 41700 Hz, CR: 4/6, T_payload: 137.515588 ms
